cash,date,open_trades,value
23063.74,2025-12-01,1,38356.94
38815.74,2025-12-02,0,38815.74
25689.54,2025-12-03,1,38815.74
14098.32,2025-12-04,2,39078.26
23678.81,2025-12-05,1,39183.66
39577.86,2025-12-08,0,39577.86
26183.74,2025-12-09,1,39577.86
39979.68,2025-12-10,0,39979.68
39979.68,2025-12-11,0,39979.68
39979.68,2025-12-12,0,39979.68
16111.6,2025-12-15,2,39979.68
14637.35,2025-12-16,2,40532.07
30965.05,2025-12-17,1,40503.93
30965.05,2025-12-18,1,40630.81
18712.09,2025-12-19,2,40682.81
40913.55,2025-12-22,0,40913.55
24844.83,2025-12-23,1,40913.55
41074.24,2025-12-24,0,41074.24
41074.24,2025-12-26,0,41074.24
41074.24,2025-12-29,0,41074.24
41074.24,2025-12-30,0,41074.24
41074.24,2025-12-31,0,41074.24
41074.24,2026-01-02,0,41074.24
24933.5,2026-01-05,1,41074.24
41235.65,2026-01-06,0,41235.65
41235.65,2026-01-07,0,41235.65
41235.65,2026-01-08,0,41235.65
25022.06,2026-01-09,1,41235.65
41559.92,2026-01-12,0,41559.92
27527.48,2026-01-13,1,41559.92
27527.48,2026-01-14,1,41037.2
41840.57,2026-01-15,0,41840.57
41840.57,2026-01-16,0,41840.57
41840.57,2026-01-20,0,41840.57
25353.77,2026-01-21,1,41840.57
25424.13,2026-01-22,1,42170.31
25868.74,2026-01-23,1,43007.62
15798.39,2026-01-26,2,42455.2
26170.85,2026-01-27,1,42804.83
42851.69,2026-01-28,0,42851.69
25984.46,2026-01-29,1,42851.69
43189.03,2026-01-30,0,43189.03
43189.03,2026-02-02,0,43189.03
43189.03,2026-02-03,0,43189.03
25938.23,2026-02-04,1,43189.03
44051.57,2026-02-05,0,44051.57
16113.27,2026-02-06,2,44051.57
34290.7,2026-02-09,1,44837.58
34290.7,2026-02-10,1,44714.76
45342.22,2026-02-11,0,45342.22
45342.22,2026-02-12,0,45342.22
45342.22,2026-02-13,0,45342.22
45342.22,2026-02-17,0,45342.22
45342.22,2026-02-18,0,45342.22
45342.22,2026-02-19,0,45342.22
45342.22,2026-02-20,0,45342.22
45342.22,2026-02-23,0,45342.22
45342.22,2026-02-24,0,45342.22
45342.22,2026-02-25,0,45342.22
45342.22,2026-02-26,0,45342.22
45342.22,2026-02-27,0,45342.22
45342.22,2026-03-02,0,45342.22
45342.22,2026-03-03,0,45342.22
45342.22,2026-03-04,0,45342.22
45342.22,2026-03-05,0,45342.22
45342.22,2026-03-06,0,45342.22
45342.22,2026-03-09,0,45342.22
45342.22,2026-03-10,0,45342.22
45342.22,2026-03-11,0,45342.22
45342.22,2026-03-12,0,45342.22
45342.22,2026-03-13,0,45342.22
45342.22,2026-03-16,0,45342.22
45342.22,2026-03-17,0,45342.22
45342.22,2026-03-18,0,45342.22
45342.22,2026-03-19,0,45342.22
45342.22,2026-03-20,0,45342.22
45342.22,2026-03-23,0,45342.22
45342.22,2026-03-24,0,45342.22
45342.22,2026-03-25,0,45342.22
45342.22,2026-03-26,0,45342.22
45342.22,2026-03-27,0,45342.22
45342.22,2026-03-30,0,45342.22
45342.22,2026-03-31,0,45342.22
45342.22,2026-04-01,0,45342.22
45342.22,2026-04-02,0,45342.22
45342.22,2026-04-06,0,45342.22
45342.22,2026-04-07,0,45342.22
18104.26,2026-04-08,2,45342.22
18440.76,2026-04-09,2,46253.22
19046.12,2026-04-10,2,47924.48
19256.82,2026-04-13,2,48357.06
19698.22,2026-04-14,2,49375.86
18112.86,2026-04-15,2,49873.38
18692.82,2026-04-16,2,50771.26
20437.82,2026-04-17,2,51144.56
20853.99,2026-04-20,2,51906.53
21181.24,2026-04-21,2,52112.13
13001.21,2026-04-22,3,52806.47
21278.65,2026-04-23,2,53578.71
20846.47,2026-04-24,2,57112.49
26693.94,2026-04-27,2,57506.53
39185.59,2026-04-28,1,56665.53
39185.59,2026-04-29,1,56344.09
20175.36,2026-04-30,2,55562.46
33782.64,2026-05-01,1,56136.12
33782.64,2026-05-04,1,54958.12
33782.64,2026-05-05,1,55808.76
36364.05,2026-05-06,1,60383.28
36364.05,2026-05-07,1,59646.27
22894.44,2026-05-08,2,62304.82
13974.73,2026-05-11,3,63735.57
26285.56,2026-05-12,3,63387.42
22025.39,2026-05-13,3,64277.58
15061.2,2026-05-14,4,66031.59
15061.2,2026-05-15,4,63818.93
8568.94,2026-05-18,5,63113.87
13901.74,2026-05-19,4,63012.74
