avg_dollar_volume,behavior,capital,close_date,close_price,close_reason,close_time_et,entry_date,entry_price,entry_rule,exit_price,held_sessions,highest_price,hold_days,id,initial_stop_price,latest_price,liquidity_cap,market_value,outcome,realized_pnl,realized_pnl_pct,selected_version,shares,status,stop_cap_pct,stop_price,strategy_id,strategy_source,technical_initial_stop_price,ticker,timeframe,unrealized_pnl,unrealized_pnl_pct
1605325817.59,ارتداد,92135.2,2025-11-19,146.068,تحقق الهدف - تنفيذ خمس دقائق,09:55:00,2025-11-18,140.45,ارتداد زخم,146.068,1,140.45,10,V31-0657,136.18,140.45,16053258.18,0.0,WIN,3685.41,4.0,السياسة المعتمدة,656,CLOSED,,136.18,SHOP_swing_rebound_approved,معتمد,136.18,SHOP,swing,0.0,-0.0
1605325817.59,ارتداد,55196.85,2025-11-20,148.877,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-11-18,140.45,ارتداد زخم,148.877,2,147.05,21,V31-0658,136.18,146.0,16053258.18,0.0,WIN,3311.81,6.0,السياسة المعتمدة,393,CLOSED,,146.7702,SHOP_monthly_rebound_approved,معتمد,136.18,SHOP,monthly,0.0,3.95
5441660291.5,ارتداد,71238.42,2025-11-21,375.6852,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-11-19,354.42,ارتداد زخم,389.862,2,376.08,21,V31-0659,329.06,346.82,54416602.92,0.0,TRAILING_WIN,4274.31,6.0,السياسة المعتمدة,201,CLOSED,,375.6852,AVGO_monthly_rebound_approved,معتمد,329.06,AVGO,monthly,0.0,-2.14
1372298890.24,ارتداد,43018.28,2025-11-20,78.44,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,12:15:00,2025-11-19,81.32,ارتداد زخم,86.1992,1,81.32,25,V31-0660,78.44,81.32,13722988.9,0.0,LOSS,-1523.52,-3.54,السياسة المعتمدة,529,CLOSED,,78.44,MRVL_monthly_rebound_approved,معتمد,78.44,MRVL,monthly,0.0,-0.0
1630016261.77,ارتداد,25842.0,2025-11-20,151.84,تحقق الهدف - تنفيذ خمس دقائق,09:30:00,2025-11-19,146.0,ارتداد زخم,151.84,1,146.0,10,V31-0661,136.18,146.0,16300162.62,0.0,WIN,1033.68,4.0,السياسة المعتمدة,177,CLOSED,,136.18,SHOP_swing_rebound_approved,معتمد,136.18,SHOP,swing,0.0,0.0
1231816692.91,ارتداد,96431.4,2025-11-24,151.209,تحقق الهدف - تنفيذ خمس دقائق,11:05:00,2025-11-21,142.65,ارتداد زخم,151.209,1,142.65,25,V31-0662,135.5,142.65,12318166.93,0.0,WIN,5785.88,6.0,السياسة المعتمدة,676,CLOSED,,135.5,LRCX_monthly_rebound_approved,معتمد,135.5,LRCX,monthly,0.0,-0.0
1475182306.36,ارتداد,57855.15,2025-11-24,82.097,تحقق الهدف - تنفيذ خمس دقائق,12:25:00,2025-11-21,77.45,ارتداد زخم,82.097,1,77.45,25,V31-0663,73.62,77.45,14751823.06,0.0,WIN,3471.31,6.0,السياسة المعتمدة,747,CLOSED,,73.62,MRVL_monthly_rebound_approved,معتمد,73.62,MRVL,monthly,0.0,-0.0
1092720587.53,ارتداد,100157.04,2025-11-28,128.166,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:55:00,2025-11-25,125.04,ارتداد زخم,131.292,2,128.475,10,V31-0664,114.52,127.65,10927205.88,0.0,TRAILING_WIN,2503.93,2.5,السياسة المعتمدة,801,CLOSED,,128.166,ANET_swing_rebound_approved,معتمد,114.52,ANET,swing,0.0,2.09
34583591639.19,ارتداد,101115.04,2025-12-03,185.3176,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-01,179.92,ارتداد زخم,188.916,2,185.66,10,V31-0665,169.55,181.46,345835916.39,0.0,TRAILING_WIN,3033.45,3.0,السياسة المعتمدة,562,CLOSED,,185.3176,NVDA_swing_rebound_approved,معتمد,169.55,NVDA,swing,0.0,0.86
2084941554.68,اختراق,102304.2,2025-12-05,102.705,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-03,100.2,قاعدة اختراق,104.208,2,102.77,8,V31-0666,89.5183,98.19,20849415.55,0.0,TRAILING_WIN,2557.6,2.5,السياسة المعتمدة,1021,CLOSED,,102.705,MRVL_swing_breakout_approved,معتمد,89.5183,MRVL,swing,0.0,-2.01
34875742495.77,ارتداد,61432.3,2025-12-08,184.2969,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-04,183.38,ارتداد زخم,192.549,2,184.66,10,V31-0667,169.55,182.41,348757424.96,0.0,TRAILING_WIN,307.16,0.5,السياسة المعتمدة,335,CLOSED,,184.2969,NVDA_swing_rebound_approved,معتمد,169.55,NVDA,swing,0.0,-0.53
825842162.6,ارتداد,103511.83,2025-12-11,133.9412,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-09,130.04,ارتداد زخم,143.044,2,134.4399,21,V31-0668,115.5093,132.36,8258421.63,0.0,TRAILING_WIN,3105.37,3.0,السياسة المعتمدة,796,CLOSED,,133.9412,ANET_monthly_rebound_approved,معتمد,115.5093,ANET,monthly,0.0,1.78
2359159572.29,ارتداد,62047.37,2026-01-06,93.857,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-10,92.47,ارتداد زخم,98.0182,17,93.87,25,V31-0669,75.2796,90.23,23591595.72,0.0,TRAILING_WIN,930.68,1.5,السياسة المعتمدة,671,CLOSED,,93.857,MRVL_monthly_rebound_approved,معتمد,75.2796,MRVL,monthly,0.0,-2.42
825763843.44,ارتداد,79962.05,2025-12-30,135.0619,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-11,134.39,ارتداد زخم,147.829,12,135.299,21,V31-0670,120.8686,134.15,8257638.43,0.0,TRAILING_WIN,399.78,0.5,السياسة المعتمدة,595,CLOSED,,135.0619,ANET_monthly_rebound_approved,معتمد,120.8686,ANET,monthly,0.0,-0.18
38417019669.15,اختراق,47531.0,2025-12-17,489.5693,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-15,475.31,قاعدة اختراق,494.3224,2,491.5,10,V31-0671,447.5309,489.88,384170196.69,0.0,TRAILING_WIN,1425.93,3.0,السياسة المعتمدة,100,CLOSED,,489.5693,TSLA_swing_breakout_approved,معتمد,447.5309,TSLA,swing,0.0,3.07
38417019669.15,اختراق,28518.6,2025-12-17,489.5693,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-15,475.31,قاعدة اختراق,503.8286,2,491.5,10,V31-0672,433.6414,489.88,384170196.69,0.0,TRAILING_WIN,855.56,3.0,السياسة المعتمدة,60,CLOSED,,489.5693,TSLA_monthly_breakout_approved,معتمد,433.6414,TSLA,monthly,0.0,3.07
13196814348.15,ارتداد,48671.48,2025-12-23,343.7636,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-19,340.36,ارتداد زخم,374.396,2,344.77,21,V31-0673,321.42,341.45,131968143.48,0.0,TRAILING_WIN,486.71,1.0,السياسة المعتمدة,143,CLOSED,,343.7636,AVGO_monthly_rebound_approved,معتمد,321.42,AVGO,monthly,0.0,0.32
13025145455.87,ارتداد,48904.8,2025-12-26,352.8132,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2025-12-23,349.32,ارتداد زخم,366.786,2,352.86,10,V31-0674,321.42,350.22,130251454.56,0.0,TRAILING_WIN,489.05,1.0,السياسة المعتمدة,140,CLOSED,,352.8132,AVGO_swing_rebound_approved,معتمد,321.42,AVGO,swing,0.0,0.26
12840375569.78,ارتداد,81390.54,2026-01-07,348.5713,ضرب الوقف المتحرك/الفني - تنفيذ خمس دقائق,09:30:00,2026-01-05,343.42,ارتداد زخم,377.762,2,348.89,21,V31-0675,321.42,343.77,128403755.7,0.0,TRAILING_WIN,1220.86,1.5,السياسة المعتمدة,237,CLOSED,,348.5713,AVGO_monthly_rebound_approved,معتمد,321.42,AVGO,monthly,0.0,0.1
